"FIPS","Yearn","rate"
51610,2014,133.2
51620,2014,230.1
51630,2014,154.5
51640,2014,158.4
51650,2014,186.6
51660,2014,135.4
51670,2014,236.8
51678,2014,140.0
51680,2014,199.1
51683,2014,145.2
51685,2014,129.3
51690,2014,244.2
51700,2014,186.7
51710,2014,187.6
51720,2014,216.7
51730,2014,223.6
51735,2014,159.9
51740,2014,211.4
51750,2014,186.2
51760,2014,193.0
51770,2014,194.1
51775,2014,168.7
51790,2014,190.5
51800,2014,195.3
51810,2014,166.5
51820,2014,205.3
51830,2014,174.9
51840,2014,170.6
51917,2014,172.2
51001,2015,194.3
51003,2015,125.0
51005,2015,132.7
51007,2015,179.7
51009,2015,149.8
51011,2015,136.5
51013,2015,121.4
51015,2015,152.1
51017,2015,129.3
51021,2015,182.6
51023,2015,125.7
51025,2015,153.7
51027,2015,157.5
51029,2015,161.6
51031,2015,143.0
51033,2015,159.8
51035,2015,152.8
51036,2015,131.9
51037,2015,165.2
51041,2015,157.1
51043,2015,152.0
51045,2015,110.8
51047,2015,169.5
51049,2015,124.1
51051,2015,203.3
51053,2015,152.6
51057,2015,172.9
51059,2015,117.3
51061,2015,142.1
51063,2015,130.8
51065,2015,153.0
51067,2015,146.0
51069,2015,164.6
51071,2015,169.0
51073,2015,173.4
51075,2015,144.4
51077,2015,160.8
51079,2015,132.4
51081,2015,181.5
51083,2015,153.0
51085,2015,154.1
51087,2015,160.7
51089,2015,175.1
51091,2015,71.8
51093,2015,153.8
51095,2015,136.9
51097,2015,124.6
51099,2015,154.1
51101,2015,170.0
51103,2015,160.6
51105,2015,186.3
51107,2015,119.2
51109,2015,170.1
51111,2015,169.0
51113,2015,159.3
51115,2015,112.1
51117,2015,193.8
51119,2015,180.4
51121,2015,135.2
51125,2015,199.4
51127,2015,178.7
51131,2015,188.5
51133,2015,143.7
51135,2015,171.4
51137,2015,155.3
51139,2015,177.6
51141,2015,158.2
51143,2015,160.9
51145,2015,142.5
51147,2015,165.0
51149,2015,142.8
51153,2015,137.3
51155,2015,163.1
51157,2015,121.1
51159,2015,139.7
51161,2015,148.6
51163,2015,141.2
51165,2015,143.6
51167,2015,175.8
51169,2015,185.5
51171,2015,155.3
51173,2015,179.6
51175,2015,137.6
51177,2015,148.3
51179,2015,151.1
51181,2015,148.5
51183,2015,183.1
51185,2015,190.6
51187,2015,178.9
51191,2015,150.7
51193,2015,174.4
51195,2015,202.6
51197,2015,155.2
51199,2015,124.9
51510,2015,121.6
51520,2015,228.1
51530,2015,160.9
51540,2015,159.6
51550,2015,169.4
51570,2015,148.9
51580,2015,180.2
51590,2015,186.3
51595,2015,149.6
51600,2015,133.7
51610,2015,96.8
51620,2015,196.5
51630,2015,142.8
51640,2015,182.4
51650,2015,178.9
51660,2015,125.4
51670,2015,216.4
51678,2015,114.6
51680,2015,186.5
51683,2015,122.8
51685,2015,66.3
51690,2015,216.1
51700,2015,185.6
51710,2015,181.2
51720,2015,158.5
51730,2015,217.0
51735,2015,131.9
51740,2015,198.1
51750,2015,167.5
51760,2015,174.8
51770,2015,181.0
51775,2015,161.6
51790,2015,175.4
51800,2015,169.7
51810,2015,160.2
51820,2015,180.0
51830,2015,104.2
51840,2015,161.8
51917,2015,154.6
51001,2016,191.0
51003,2016,125.4
51005,2016,133.8
51007,2016,172.0
51009,2016,143.3
51011,2016,138.2
51013,2016,114.5
51015,2016,149.8
51017,2016,117.9
51021,2016,170.9
51023,2016,122.1
51025,2016,166.2
51027,2016,174.5
51029,2016,151.0
51031,2016,150.4
51033,2016,158.9
51035,2016,150.4
51036,2016,127.9
51037,2016,162.4
51041,2016,154.1
51043,2016,141.4
51045,2016,124.9
51047,2016,164.0
51049,2016,121.8
51051,2016,204.2
51053,2016,152.8
51057,2016,160.4
51059,2016,113.7
51061,2016,138.7
51063,2016,136.9
51065,2016,139.8
51067,2016,145.4
51069,2016,160.3
51071,2016,169.2
51073,2016,172.8
51075,2016,145.8
51077,2016,147.8
51079,2016,138.5
51081,2016,202.3
51083,2016,156.8
51085,2016,158.8
51087,2016,158.4
51089,2016,172.6
51091,2016,63.6
51093,2016,147.0
51095,2016,138.0
51097,2016,126.3
51099,2016,145.1
51101,2016,167.8
51103,2016,161.8
51105,2016,182.8
51107,2016,116.7
51109,2016,161.0
51111,2016,162.4
51113,2016,143.9
51115,2016,120.7
51117,2016,185.7
51119,2016,169.8
51121,2016,129.4
51125,2016,187.2
51127,2016,172.3
51131,2016,186.7
51133,2016,136.8
51135,2016,163.0
51137,2016,153.8
51139,2016,177.0
51141,2016,151.2
51143,2016,156.5
51145,2016,137.9
51147,2016,161.8
51149,2016,129.7
51153,2016,133.7
51155,2016,158.5
51157,2016,133.9
51159,2016,150.2
51161,2016,145.6
51163,2016,140.4
51165,2016,141.1
51167,2016,166.9
51169,2016,179.3
51171,2016,157.6
51173,2016,176.4
51175,2016,146.1
51177,2016,147.8
51179,2016,149.5
51181,2016,169.2
51183,2016,191.0
51185,2016,187.6
51187,2016,171.6
51191,2016,141.6
51193,2016,173.7
51195,2016,197.2
51197,2016,159.9
51199,2016,121.6
51510,2016,116.1
51520,2016,233.3
51530,2016,159.5
51540,2016,143.6
51550,2016,164.0
51570,2016,158.7
51580,2016,201.9
51590,2016,182.4
51595,2016,148.8
51600,2016,156.6
51610,2016,97.5
51620,2016,210.8
51630,2016,140.5
51640,2016,226.6
51650,2016,174.0
51660,2016,115.4
51670,2016,211.2
51678,2016,109.5
51680,2016,186.8
51683,2016,130.3
51685,2016,64.7
51690,2016,235.4
51700,2016,184.5
51710,2016,178.4
51720,2016,151.2
51730,2016,224.8
51735,2016,139.5
51740,2016,189.1
51750,2016,166.3
51760,2016,165.8
51770,2016,176.3
51775,2016,158.4
51790,2016,175.2
51800,2016,169.7
51810,2016,159.1
51820,2016,181.1
51830,2016,91.5
51840,2016,164.8
51917,2016,155.8
51001,2017,188.9
51003,2017,121.0
51005,2017,128.5
51007,2017,155.5
51009,2017,140.8
51011,2017,142.3
51013,2017,111.6
51015,2017,141.7
51017,2017,142.8
51021,2017,148.4
51023,2017,123.3
51025,2017,167.0
51027,2017,172.8
51029,2017,146.0
51031,2017,152.3
51033,2017,153.4
51035,2017,151.6
51036,2017,123.3
51037,2017,162.4
51041,2017,152.8
51043,2017,137.3
51045,2017,110.3
51047,2017,159.6
51049,2017,128.8
51051,2017,199.2
51053,2017,152.2
51057,2017,167.7
51059,2017,110.4
51061,2017,139.1
51063,2017,136.9
51065,2017,136.8
51067,2017,143.2
51069,2017,154.5
51071,2017,164.8
51073,2017,176.1
51075,2017,146.2
51077,2017,141.5
51079,2017,132.0
51081,2017,209.7
51083,2017,158.0
51085,2017,155.3
51087,2017,158.6
51089,2017,164.1
51091,2017,75.2
51093,2017,141.4
51095,2017,142.1
51097,2017,128.5
51099,2017,145.0
51101,2017,159.6
51103,2017,158.9
51105,2017,176.6
51107,2017,116.1
51109,2017,164.3
51111,2017,153.8
51113,2017,147.3
51115,2017,121.5
51117,2017,174.6
51119,2017,154.4
51121,2017,128.3
51125,2017,188.3
51127,2017,157.4
51131,2017,182.0
51133,2017,128.7
51135,2017,154.2
51137,2017,147.3
51139,2017,168.1
51141,2017,149.3
51143,2017,154.8
51145,2017,130.8
51147,2017,164.2
51149,2017,123.5
51153,2017,132.7
51155,2017,148.2
51157,2017,133.3
51159,2017,158.5
51161,2017,139.2
51163,2017,133.5
51165,2017,138.1
51167,2017,163.5
51169,2017,181.4
51171,2017,162.4
51173,2017,175.1
51175,2017,137.2
51177,2017,147.1
51179,2017,141.9
51181,2017,166.5
51183,2017,184.0
51185,2017,185.5
51187,2017,178.2
51191,2017,140.2
51193,2017,166.4
51195,2017,191.7
51197,2017,161.8
51199,2017,116.2
51510,2017,114.3
51520,2017,227.0
51530,2017,161.1
51540,2017,147.3
51550,2017,161.1
51570,2017,169.3
51580,2017,222.6
51590,2017,175.9
51595,2017,118.1
51600,2017,161.2
51610,2017,103.0
51620,2017,215.0
51630,2017,141.8
51640,2017,294.9
51650,2017,177.6
51660,2017,109.3
51670,2017,213.9
51678,2017,136.1
51680,2017,184.5
51683,2017,133.1
51685,2017,51.8
51690,2017,235.0
51700,2017,184.1
51710,2017,182.6
51720,2017,120.2
51730,2017,225.6
51735,2017,128.4
51740,2017,196.9
51750,2017,153.7
51760,2017,160.1
51770,2017,177.2
51775,2017,171.5
51790,2017,176.1
51800,2017,167.3
51810,2017,154.5
51820,2017,171.6
51830,2017,79.8
51840,2017,167.6
51917,2017,152.2
51001,2018,179.6
51003,2018,117.9
51005,2018,133.3
51007,2018,160.0
51009,2018,143.3
51011,2018,148.3
51013,2018,105.1
51015,2018,131.9
51017,2018,134.7
51021,2018,128.0
51023,2018,118.2
51025,2018,170.6
51027,2018,172.9
51029,2018,129.9
51031,2018,156.5
51033,2018,153.1
51035,2018,137.3
51036,2018,127.1
51037,2018,158.6
51041,2018,151.9
51043,2018,123.0
51045,2018,96.5
51047,2018,157.1
51049,2018,124.9
51051,2018,183.0
51053,2018,140.8
51057,2018,170.8
51059,2018,108.9
51061,2018,143.0
51063,2018,139.6
51065,2018,136.4
51067,2018,145.1
51069,2018,152.9
51071,2018,160.4
51073,2018,178.1
51075,2018,145.9
51077,2018,148.6
51079,2018,127.1
51081,2018,218.5
51083,2018,166.2
51085,2018,148.0
51087,2018,154.6
51089,2018,155.9
51091,2018,81.7
51093,2018,136.5
51095,2018,143.9
51097,2018,147.5
51099,2018,119.5
51101,2018,148.1
51103,2018,153.7
51105,2018,166.3
51107,2018,115.8
51109,2018,162.9
51111,2018,147.8
51113,2018,155.3
51115,2018,131.8
51117,2018,166.2
51119,2018,152.4
51121,2018,126.3
51125,2018,178.5
51127,2018,154.5
51131,2018,176.3
51133,2018,114.6
51135,2018,153.9
51137,2018,151.3
51139,2018,166.3
51141,2018,142.2
51143,2018,148.4
51145,2018,125.1
51147,2018,159.8
51149,2018,121.0
51153,2018,131.7
51155,2018,134.8
51157,2018,124.7
51159,2018,164.6
51161,2018,140.6
51163,2018,126.9
51165,2018,137.7
51167,2018,162.6
51169,2018,179.2
51171,2018,158.5
51173,2018,178.2
51175,2018,128.9
51177,2018,148.6
51179,2018,137.1
51181,2018,161.2
51183,2018,178.7
51185,2018,188.2
51187,2018,177.4
51191,2018,140.7
51193,2018,167.1
51195,2018,180.1
51197,2018,160.6
51199,2018,112.8
51510,2018,110.1
51520,2018,213.2
51530,2018,160.9
51540,2018,140.7
51550,2018,160.2
51570,2018,182.0
51580,2018,241.7
51590,2018,166.6
51595,2018,113.9
51600,2018,168.0
51610,2018,89.8
51620,2018,215.2
51630,2018,128.5
51640,2018,325.5
51650,2018,176.2
51660,2018,119.2
51670,2018,222.7
51678,2018,167.8
51680,2018,181.2
51683,2018,131.8
51685,2018,50.4
51690,2018,243.1
51700,2018,183.2
51710,2018,180.6
51720,2018,138.4
51730,2018,240.4
51735,2018,131.5
51740,2018,194.6
51750,2018,163.8
51760,2018,152.9
51770,2018,179.0
51775,2018,178.4
51790,2018,180.1
51800,2018,164.0
51810,2018,149.5
51820,2018,185.8
51830,2018,52.8
51840,2018,167.4
51917,2018,152.0
51001,2019,175.7
51003,2019,115.5
51005,2019,126.1
51007,2019,161.2
51009,2019,145.6
51011,2019,144.1
51013,2019,100.8
51015,2019,124.4
51017,2019,137.7
51021,2019,124.6
51023,2019,122.0
51025,2019,161.6
51027,2019,175.7
51029,2019,132.7
51031,2019,151.0
51033,2019,154.1
51035,2019,130.6
51036,2019,132.7
51037,2019,158.7
51041,2019,149.9
51043,2019,122.2
51045,2019,101.6
51047,2019,152.5
51049,2019,137.7
51051,2019,188.6
51053,2019,141.0
51057,2019,159.0
51059,2019,106.6
51061,2019,137.4
51063,2019,124.1
51065,2019,138.7
51067,2019,136.6
51069,2019,147.3
51071,2019,161.6
51073,2019,178.2
51075,2019,138.9
51077,2019,149.8
51079,2019,116.5
51081,2019,212.4
51083,2019,172.0
51085,2019,145.0
51087,2019,149.0
51089,2019,152.1
